size,type,alignment,ac,hp,cr,speed,swim,fly,climb,burrow,passive_perception,darkvision,truesight,tremorsense,blindsight,strength,str_mod,dex,dex_mod,con,con_mod,intel,int_mod,wis,wis_mod,cha,cha_mod,str_save,dex_save,con_save,int_save,wis_save,cha_save,history,perception,stealth,persuasion,insight,deception,arcana,religion,acrobatics,athletics,intimidation,legendary
medium,humanoid,neutral good,12.0,13,0.25,20,0,50,0,0,15,0,0,0,0,10,0,14,2,10,0,11,0,12,1,11,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
medium,humanoid,any alignment,12.0,84,9.0,30,0,0,0,0,11,0,0,0,0,9,-1,14,2,14,2,18,4,12,1,11,0,0,0,0,8,5,0,8,0,0,0,0,0,8,0,0,0,0,0
large,aberration,lawful evil,17.0,135,10.0,10,40,0,0,0,20,120,0,0,0,21,5,9,-1,15,2,18,4,15,2,18,4,0,0,6,8,6,0,12,10,0,0,0,0,0,0,0,0,0,1
huge,monstrosity,chaotic evil,15.0,137,9.0,40,0,0,40,0,15,60,0,0,0,24,7,10,0,22,6,9,-1,13,1,9,-1,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0
medium,undead,neutral evil,21.0,285,23.0,30,0,0,0,0,22,0,120,0,0,13,1,16,3,20,5,27,8,21,5,20,5,0,0,12,15,12,0,22,12,0,0,12,0,22,15,0,0,0,0
medium,humanoid,any alignment,10.0,9,0.25,30,0,0,0,0,12,0,0,0,0,10,0,10,0,10,0,10,0,14,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
huge,dragon,chaotic evil,19.0,195,14.0,40,40,80,0,0,21,120,0,0,60,23,6,14,2,21,5,14,2,13,1,17,3,0,7,10,0,6,8,0,11,7,0,0,0,0,0,0,0,0,1
huge,undead,lawful evil,19.0,225,17.0,40,0,80,0,30,24,120,0,0,60,25,7,10,0,23,6,16,3,15,2,19,4,0,6,12,0,8,10,0,14,6,0,0,0,0,0,0,0,0,1
huge,dragon,lawful evil,19.0,225,16.0,40,0,80,0,30,22,120,0,0,60,25,7,10,0,23,6,16,3,15,2,19,4,0,5,11,0,7,9,0,12,5,0,0,0,0,0,0,0,0,1
huge,dragon,chaotic good,18.0,172,13.0,40,0,80,0,30,21,120,0,0,60,23,6,10,0,21,5,14,2,13,1,17,3,0,5,10,0,6,8,7,11,5,8,0,0,0,0,0,0,0,1
huge,dragon,lawful good,19.0,212,15.0,40,40,80,0,0,22,120,0,0,60,25,7,10,0,23,6,16,3,15,2,19,4,0,5,11,0,7,9,0,12,5,0,7,0,0,0,0,0,0,1
huge,dragon,chaotic good,18.0,184,14.0,40,0,80,40,0,22,120,0,0,60,23,6,12,1,21,5,18,4,15,2,17,3,0,6,10,0,7,8,0,12,6,0,0,8,0,0,0,0,0,1
huge,dragon,lawful good,19.0,256,17.0,40,40,80,0,0,24,120,0,0,60,27,8,14,2,25,7,16,3,15,2,24,7,0,8,13,0,8,13,0,14,8,13,8,0,0,0,0,0,0,1
huge,dragon,lawful evil,19.0,207,15.0,40,40,80,0,0,22,120,0,0,60,23,6,12,1,21,5,18,4,15,2,17,3,0,6,10,0,7,8,0,12,6,8,7,8,0,0,0,0,0,1
medium,monstrosity,unaligned,18.0,39,2.0,40,0,0,40,20,11,60,0,60,0,15,2,16,3,15,2,7,-2,12,1,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medium,ooze,lawful evil,14.0,75,5.0,20,0,0,0,0,14,0,0,0,60,8,-1,19,4,16,3,19,4,12,1,15,2,0,0,0,7,0,5,7,4,0,0,0,5,7,7,0,0,0,0
huge,dragon,chaotic evil,19.0,256,17.0,40,0,80,40,0,23,120,0,0,60,27,8,10,0,25,7,16,3,13,1,21,5,0,6,13,0,7,11,0,13,6,0,0,0,0,0,0,0,0,1
huge,dragon,lawful good,19.0,243,16.0,40,0,80,0,0,21,120,0,0,60,27,8,10,0,25,7,16,3,13,1,21,5,0,5,12,0,6,10,8,11,5,0,0,0,8,0,0,0,0,1
huge,dragon,chaotic evil,18.0,200,13.0,40,40,80,0,30,21,120,0,0,60,22,6,10,0,22,6,8,-1,12,1,12,1,0,5,11,0,6,6,0,11,5,0,0,0,0,0,0,0,0,1
large,elemental,neutral,15.0,90,5.0,0,0,90,0,0,10,60,0,0,0,14,2,20,5,14,2,6,-2,10,0,6,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medium,elemental,neutral,18.0,117,7.0,30,0,30,0,0,10,60,0,0,0,18,4,14,2,14,2,9,-1,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medium,humanoid,any alignment,13.0,30,0.25,25,0,0,0,0,14,60,0,0,0,13,1,13,1,17,3,12,1,14,2,11,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0
medium,monstrosity,lawful neutral,14.0,49,1.0,20,30,0,0,0,14,60,0,0,0,13,1,8,-1,12,1,10,0,14,2,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
medium,undead,any evil alignment,15.0,120,10.0,30,0,0,0,0,17,0,120,0,0,11,0,12,1,16,3,19,4,17,3,17,3,0,0,7,8,7,7,8,7,5,0,7,7,8,0,0,0,0,0
medium,fiend,chaotic evil,17.0,157,11.0,40,0,0,0,0,10,120,0,0,0,12,1,19,4,22,6,6,-2,11,0,7,-2,0,8,10,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
medium,undead,neutral evil,13.0,40,5.0,0,0,40,0,0,15,60,0,0,0,6,-2,17,3,10,0,17,3,15,2,16,3,0,0,0,6,5,0,0,5,6,0,0,0,0,0,0,0,0,0
large,beast,unaligned,13.0,51,2.0,60,0,0,0,0,15,0,0,0,0,19,4,13,1,17,3,2,-4,12,1,5,-3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
medium,dragon,unaligned,13.0,22,0.5,30,0,0,0,0,14,60,0,0,0,13,1,15,2,14,2,4,-3,11,0,6,-2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
medium,fiend,lawful evil,21.0,202,18.0,30,0,40,0,0,17,120,0,0,0,11,0,13,1,16,3,20,5,12,1,18,4,0,7,9,0,7,10,0,7,0,0,0,0,0,0,0,0,0,0
gargantuan,dragon,chaotic evil,22.0,367,21.0,40,40,80,0,0,26,120,0,0,60,27,8,14,2,25,7,16,3,15,2,19,4,0,9,14,0,9,11,0,16,9,0,0,0,0,0,0,0,0,1
gargantuan,dragon,lawful evil,22.0,481,23.0,40,0,80,0,40,27,120,0,0,60,29,9,10,0,27,8,18,4,17,3,21,5,0,7,15,0,10,12,0,17,7,0,0,0,0,0,0,0,0,1
gargantuan,dragon,chaotic good,20.0,297,20.0,40,0,80,0,40,24,120,0,0,60,27,8,10,0,25,7,16,3,15,2,19,4,0,6,13,0,8,10,9,14,6,10,0,0,0,0,0,0,0,1
gargantuan,dragon,lawful good,22.0,444,22.0,40,40,80,0,0,27,120,0,0,60,29,9,10,0,27,8,18,4,17,3,21,5,0,7,15,0,10,12,0,17,7,0,10,0,0,0,0,0,0,1
gargantuan,dragon,chaotic good,21.0,350,21.0,40,0,80,40,0,27,120,0,0,60,27,8,12,1,25,7,20,5,17,3,19,4,0,8,14,0,10,11,0,17,8,0,0,11,0,0,0,0,0,1
gargantuan,dragon,lawful good,22.0,546,24.0,40,40,80,0,0,27,120,0,0,60,30,1,14,2,29,9,18,4,17,3,28,9,0,9,16,0,10,16,0,17,9,16,10,0,0,0,0,0,0,1
gargantuan,dragon,lawful evil,21.0,385,22.0,40,40,80,0,0,27,120,0,0,60,27,8,12,1,25,7,20,5,17,3,19,4,0,8,14,0,10,11,0,17,8,11,10,11,0,0,0,0,0,1
gargantuan,dragon,chaotic evil,22.0,546,24.0,40,0,80,40,0,26,120,0,0,60,30,1,10,0,29,9,18,4,15,2,23,6,0,7,16,0,9,13,0,16,7,0,0,0,0,0,0,0,0,1
medium,undead,chaotic evil,13.0,32,1.0,40,0,0,0,0,10,60,0,0,0,6,-2,16,3,14,2,6,-2,10,0,8,-1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
gargantuan,dragon,lawful good,22.0,487,23.0,40,0,80,0,0,26,120,0,0,60,30,1,10,0,29,9,18,4,15,2,23,6,0,7,16,0,9,13,11,16,7,0,0,0,11,0,0,0,0,1
gargantuan,dragon,chaotic evil,20.0,333,20.0,40,40,80,0,40,23,120,0,0,60,26,8,10,0,26,8,10,0,13,1,14,2,0,6,14,0,7,8,0,13,6,0,0,0,0,0,0,0,0,1
large,monstrosity,lawful neutral,17.0,199,17.0,40,0,60,0,0,20,0,120,0,0,22,6,10,0,20,5,16,3,18,4,23,6,0,6,11,9,10,0,0,10,0,0,0,0,9,15,0,0,0,1
medium,construct,unaligned,18.0,33,1.0,25,0,0,0,0,6,0,0,0,60,14,2,11,0,13,1,1,-5,3,-4,1,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
large,monstrosity,unaligned,14.0,39,2.0,30,0,0,0,10,11,60,0,60,0,17,3,11,0,13,1,1,-5,13,1,6,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
huge,beast,unaligned,15.0,68,3.0,30,0,0,0,0,11,0,0,0,0,19,4,11,0,15,2,2,-4,12,1,5,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
large,fey,chaotic evil,17.0,75,6.0,40,0,0,0,0,15,60,0,0,0,21,5,12,1,14,2,13,1,14,2,15,2,0,0,5,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0
medium,beast,unaligned,12.0,19,0.5,30,0,0,30,0,13,0,0,0,0,16,3,14,2,14,2,6,-2,12,1,7,-2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0
medium,humanoid,any alignment,10.0,9,0.25,30,0,0,0,0,10,0,0,0,0,10,0,10,0,10,0,14,2,10,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0
medium,fiend,neutral evil,17.0,104,12.0,30,0,30,0,0,17,0,120,0,0,17,3,12,1,14,2,20,5,16,3,17,3,0,5,0,9,7,7,0,7,0,0,9,9,13,0,0,0,0,0
medium,humanoid,any alignment,16.0,132,12.0,30,0,0,0,0,19,0,0,0,0,10,0,14,2,12,1,12,1,20,5,11,0,0,0,0,5,9,0,0,9,0,0,0,0,0,0,0,0,0,0
medium,humanoid,any alignment,16.0,75,3.0,30,0,0,0,0,15,0,0,0,0,11,0,18,4,16,3,11,0,13,1,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0
medium,humanoid,any alignment,12.0,99,12.0,30,0,0,0,0,12,0,0,0,0,10,0,14,2,12,1,20,5,15,2,16,3,0,0,0,9,6,0,13,0,0,0,0,0,13,0,0,0,0,0
large,fiend,chaotic evil,16.0,84,7.0,60,0,0,0,0,11,120,0,0,0,21,5,18,4,21,5,8,-1,12,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medium,humanoid,any non-good alignment,15.0,78,8.0,30,0,0,0,0,13,0,0,0,0,11,0,16,3,14,2,13,1,11,0,10,0,0,6,0,4,0,0,0,3,9,0,0,3,0,0,6,0,0,0
large,plant,unaligned,13.0,85,3.0,5,0,0,5,0,10,0,0,0,30,18,4,10,0,16,3,1,-5,10,0,1,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gargantuan,monstrosity,unaligned,20.0,297,21.0,15,0,80,0,0,19,120,0,0,0,28,9,7,-2,25,7,5,-3,14,2,18,4,0,5,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,1
huge,undead,neutral evil,7.0,225,13.0,0,0,50,0,0,14,120,120,0,0,19,4,5,-3,22,6,25,7,19,4,24,7,0,0,11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
large,beast,unaligned,11.0,38,2.0,50,0,0,0,0,11,0,0,0,0,20,5,10,0,19,4,2,-4,12,1,5,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medium,fey,chaotic neutral,19.0,127,10.0,30,0,0,0,0,13,60,0,0,0,12,1,16,3,16,3,14,2,17,3,18,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
small,plant,unaligned,9.0,10,0.0,20,0,0,0,0,10,0,0,0,0,3,-4,8,-1,11,0,10,0,10,0,6,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
huge,plant,unaligned,13.0,59,2.0,20,0,0,0,0,10,0,0,0,0,19,4,6,-2,15,2,10,0,10,0,7,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
large,beast,unaligned,11.0,19,0.25,50,0,0,0,0,10,0,0,0,0,14,2,12,1,12,1,2,-4,10,0,5,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medium,elemental,lawful neutral,17.0,39,2.0,30,0,0,0,0,11,0,0,0,0,17,3,12,1,15,2,12,1,13,1,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medium,fiend,chaotic evil,16.0,82,4.0,40,0,0,0,0,15,120,0,0,0,19,4,16,3,16,3,11,0,12,1,13,1,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
small,beast,unaligned,12.0,3,0.0,30,0,0,30,0,11,0,0,0,0,8,-1,14,2,11,0,4,-3,12,1,6,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tiny,beast,unaligned,10.0,3,0.0,20,0,0,0,5,11,30,0,0,0,4,-3,11,0,12,1,2,-4,12,1,5,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
large,fiend,lawful evil,18.0,189,19.0,30,0,0,0,0,23,0,120,0,0,24,7,17,3,20,5,21,5,24,7,24,7,0,9,11,11,0,13,0,13,0,13,0,0,0,0,0,0,13,0
large,aberration,chaotic evil,17.0,114,11.0,25,0,0,25,0,16,0,0,0,500,17,3,8,-1,18,4,6,-2,15,2,8,-1,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
huge,fiend,chaotic evil,19.0,262,19.0,40,0,80,0,0,13,0,120,0,0,26,8,15,2,22,6,20,5,16,3,22,6,14,0,12,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0
large,monstrosity,neutral evil,15.0,84,5.0,30,0,0,0,0,12,120,0,0,0,20,5,12,1,20,5,11,0,14,2,8,-1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0
medium,humanoid,any non-lawful alignment,12.0,11,0.125,30,0,0,0,0,10,0,0,0,0,11,0,12,1,12,1,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medium,humanoid,any non-lawful alignment,15.0,65,2.0,30,0,0,0,0,10,0,0,0,0,15,2,16,3,14,2,14,2,11,0,14,2,4,5,0,0,2,0,0,0,0,0,0,4,0,0,0,4,0,0
medium,undead,chaotic evil,12.0,58,4.0,0,0,40,0,0,10,60,0,0,0,1,-5,14,2,10,0,12,1,11,0,17,3,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0
huge,fiend,chaotic evil,22.0,275,23.0,40,0,0,0,0,24,0,120,0,0,30,1,14,2,26,8,18,4,24,7,16,3,0,9,15,0,14,0,0,14,0,0,0,0,0,0,0,0,17,0
medium,fiend,lawful evil,15.0,110,5.0,30,0,0,0,0,18,120,0,0,0,16,3,17,3,18,4,12,1,14,2,14,2,6,0,7,0,5,5,0,8,0,0,5,5,0,0,0,0,0,0
medium,humanoid,any alignment,15.0,44,2.0,30,0,0,0,0,15,0,0,0,0,11,0,14,2,12,1,10,0,13,1,14,2,0,4,0,0,3,0,0,5,0,0,0,0,0,0,4,0,0,0
large,fiend,neutral evil,17.0,90,4.0,60,0,0,0,0,15,60,0,0,60,19,4,15,2,14,2,13,1,12,1,14,2,0,0,0,0,0,0,0,5,4,0,0,4,0,0,0,0,4,0
large,fiend,chaotic evil,15.0,68,5.0,40,0,0,40,0,15,120,0,0,30,18,4,15,2,16,3,7,-2,14,2,9,-1,0,5,6,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
medium,monstrosity,unaligned,15.0,52,3.0,20,0,0,0,0,9,60,0,0,0,16,3,8,-1,15,2,2,-4,8,-1,7,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tiny,beast,unaligned,12.0,1,0.0,5,0,30,0,0,11,0,0,0,60,2,-4,15,2,8,-1,2,-4,12,1,4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medium,fiend,lawful evil,13.0,52,3.0,30,0,0,0,0,10,120,0,0,0,16,3,15,2,15,2,9,-1,11,0,11,0,5,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
huge,monstrosity,neutral evil,17.0,168,11.0,50,0,0,40,0,16,90,0,0,0,23,6,16,3,18,4,7,-2,14,2,12,1,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0
large,aberration,lawful evil,18.0,180,13.0,0,0,20,0,0,22,120,0,0,0,10,0,14,2,18,4,17,3,15,2,17,3,0,0,0,8,7,8,0,12,0,0,0,0,0,0,0,0,0,1
large,undead,neutral evil,15.0,93,5.0,0,0,20,0,0,9,60,0,0,0,10,0,8,-1,16,3,3,-4,8,-1,5,-3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
huge,fiend,chaotic evil,19.0,262,20.0,40,0,80,0,0,13,0,120,0,0,26,8,15,2,22,6,20,5,16,3,22,6,14,0,12,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0
medium,aberration,neutral evil,14.0,38,2.0,30,0,40,0,0,12,0,120,0,0,9,-1,16,3,9,-1,17,3,11,0,10,0,0,5,0,5,0,0,5,2,0,0,2,0,5,5,0,0,0,0
medium,humanoid,any chaotic alignment,13.0,67,2.0,30,0,0,0,0,10,0,0,0,0,16,3,12,1,17,3,9,-1,11,0,9,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medium,fey,chaotic evil,17.0,91,7.0,30,0,0,0,0,14,60,0,0,0,13,1,16,3,14,2,12,1,13,1,16,3,0,0,0,0,4,0,0,4,6,0,0,0,0,0,0,0,0,0
medium,fiend,lawful evil,15.0,58,7.0,30,0,40,0,0,16,120,0,0,0,14,2,17,3,14,2,13,1,16,3,11,0,0,6,0,0,6,0,0,6,6,0,0,0,0,0,0,0,0,0
medium,beast,unaligned,11.0,19,0.5,40,0,0,30,0,13,0,0,0,0,15,2,10,0,14,2,2,-4,12,1,7,-2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
medium,dragon,chaotic evil,17.0,33,2.0,30,30,60,0,0,14,60,0,0,10,15,2,14,2,13,1,10,0,11,0,13,1,0,4,3,0,2,3,0,4,4,0,0,0,0,0,0,0,0,0
medium,humanoid,lawful evil,16.0,51,6.0,30,0,0,0,0,15,0,0,0,0,18,4,11,0,18,4,12,1,15,2,18,4,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,7,0
large,ooze,unaligned,7.0,85,4.0,20,0,0,20,0,8,0,0,0,60,16,3,5,-3,16,3,1,-5,6,-2,1,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medium,humanoid,any non-good alignment,18.0,153,8.0,30,0,0,0,0,12,0,0,0,0,18,4,11,0,18,4,11,0,14,2,15,2,0,0,0,0,5,5,0,0,0,0,0,5,0,0,0,7,5,0
medium,fey,lawful good,13.0,22,0.25,40,0,0,0,0,13,0,0,0,0,12,1,17,3,12,1,10,0,13,1,11,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0
small,beast,unaligned,12.0,7,0.125,10,0,60,0,0,14,0,0,0,0,6,-2,14,2,10,0,3,-4,14,2,5,-3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
medium,fiend,lawful evil,19.0,195,17.0,30,0,50,0,0,16,120,0,0,0,15,2,14,2,17,3,22,6,23,6,18,4,0,0,0,12,12,0,0,0,0,0,0,0,12,0,0,0,0,0
medium,dragon,lawful evil,17.0,52,3.0,30,0,60,0,15,14,60,0,0,10,17,3,10,0,15,2,12,1,11,0,15,2,0,2,4,0,2,4,0,4,2,0,0,0,0,0,0,0,0,0
large,aberration,chaotic neutral,15.0,123,7.0,30,0,0,0,0,11,60,0,0,0,20,5,15,2,18,4,7,-2,7,-2,9,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
medium,beast,unaligned,11.0,11,0.25,40,0,0,0,0,9,0,0,0,0,13,1,11,0,12,1,2,-4,9,-1,5,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medium,undead,chaotic evil,15.0,58,6.0,30,0,0,0,0,14,120,0,0,0,15,2,16,3,15,2,7,-2,12,1,12,1,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0
small,fey,chaotic neutral,14.0,18,0.125,30,0,0,30,0,13,60,0,0,0,8,-1,18,4,13,1,6,-2,12,1,7,-2,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0
large,fiend,lawful evil,19.0,142,9.0,40,0,40,0,0,12,120,0,0,0,18,4,16,3,18,4,13,1,14,2,16,3,0,0,0,5,6,7,0,0,0,0,6,7,0,0,0,0,0,0
large,undead,lawful evil,15.0,58,4.0,30,0,0,0,0,12,60,0,0,0,15,2,16,3,12,1,15,2,15,2,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
large,undead,chaotic evil,16.0,127,12.0,40,0,0,0,0,16,60,0,0,0,19,4,16,3,15,2,13,1,15,2,9,-1,0,7,6,0,6,0,0,6,7,0,0,0,0,0,0,0,0,0
medium,dragon,chaotic good,16.0,16,1.0,30,0,60,0,15,14,60,0,0,10,15,2,10,0,13,1,10,0,11,0,13,1,0,2,3,0,2,3,0,4,2,0,0,0,0,0,0,0,0,0
gargantuan,beast,unaligned,15.0,121,5.0,30,0,0,0,0,10,0,0,0,0,21,5,9,-1,17,3,2,-4,10,0,7,-2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medium,dragon,lawful good,17.0,32,2.0,30,30,60,0,0,14,60,0,0,10,17,3,10,0,15,2,12,1,11,0,15,2,0,2,4,0,2,4,0,4,2,0,0,0,0,0,0,0,0,0
large,beast,unaligned,11.0,34,1.0,40,0,0,30,0,13,0,0,0,0,19,4,10,0,16,3,2,-4,13,1,7,-2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
medium,humanoid,chaotic evil,16.0,27,1.0,30,0,0,0,0,10,60,0,0,0,15,2,14,2,13,1,8,-1,11,0,9,-1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
medium,humanoid,chaotic evil,17.0,65,3.0,30,0,0,0,0,11,60,0,0,0,17,3,14,2,14,2,11,0,12,1,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0
large,monstrosity,unaligned,17.0,94,5.0,40,0,0,0,40,16,60,0,60,0,19,4,11,0,21,5,2,-4,10,0,5,-3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
medium,fiend,chaotic evil,14.0,52,3.0,40,0,0,0,0,9,120,0,0,0,15,2,14,2,17,3,8,-1,9,-1,6,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medium,humanoid,neutral evil,15.0,11,0.25,20,40,0,0,0,10,0,0,0,0,12,1,12,1,13,1,7,-2,10,0,7,-2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
large,construct,lawful evil,17.0,189,14.0,30,0,0,0,0,10,60,0,0,0,21,5,14,2,20,5,5,-3,11,0,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medium,fiend,any evil alignment,19.0,82,5.0,30,0,60,0,0,14,60,0,0,0,18,4,18,4,16,3,14,2,12,1,16,3,7,0,6,5,0,6,0,4,7,0,0,6,0,0,0,0,6,0
large,beast,unaligned,9.0,15,0.125,50,0,0,0,0,9,0,0,0,0,16,3,8,-1,14,2,2,-4,8,-1,5,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medium,fiend,neutral evil,16.0,120,8.0,50,0,0,0,0,19,60,120,0,0,18,4,10,0,17,3,5,-3,17,3,12,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
large,monstrosity,unaligned,13.0,51,2.0,30,0,0,30,0,13,60,0,0,0,14,2,13,1,16,3,1,-5,12,1,5,-3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
tiny,beast,unaligned,12.0,2,0.0,40,0,0,30,0,13,0,0,0,0,3,-4,15,2,10,0,3,-4,12,1,7,-2,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0
large,monstrosity,unaligned,14.0,84,5.0,30,0,0,0,0,12,60,0,0,0,19,4,12,1,21,5,3,-4,14,2,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medium,monstrosity,unaligned,16.0,58,3.0,20,0,0,20,0,12,0,0,0,60,16,3,13,1,14,2,3,-4,10,0,3,-4,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0
large,monstrosity,neutral good,12.0,45,2.0,50,0,0,0,0,13,0,0,0,0,18,4,14,2,14,2,9,-1,13,1,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0
medium,fiend,lawful evil,16.0,85,8.0,30,0,0,0,0,11,120,0,0,0,18,4,15,2,18,4,11,0,12,1,14,2,0,0,7,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0
